day_ID,salinity,salt,competition,pair,strain1,strain2,mean_CFU_1,mean_CFU_2,mean_ratio_fast
D3,31,31,50-50,40-39,40,39,4233333333.3333335,33333333.333333336,0.9904761904761905
D3,31,31,50-50,40-8,40,8,2200000000,733333333.3333334,0.25297619047619047
D3,31,31,50-50,40-II.F2,40,II.F2,3833333333.3333335,300000000,0.9248960498960499
D3,31,31,50-50,6-25,6,25,1166666666.6666667,4166666666.6666665,0.22306397306397308
D3,31,31,95-5,2-25,2,25,833333333.3333334,2166666666.6666665,0.3888888888888889
D3,31,31,95-5,2-32,2,32,733333333.3333334,2500000000,0.786629788854483
D3,31,31,95-5,2-II.F2,2,II.F2,2100000000,133333333.33333334,0.9540229885057471
D3,31,31,95-5,40-2,40,2,3933333333.3333335,733333333.3333334,0.15673758865248227
D3,31,31,95-5,40-39,40,39,1266666666.6666667,466666666.6666667,0.7132034632034632
D3,31,31,95-5,40-8,40,8,1900000000,733333333.3333334,0.30002886002886003
D3,31,31,95-5,40-II.F2,40,II.F2,4133333333.3333335,133333333.33333334,0.967673248161053
D3,31,31,95-5,6-25,6,25,1166666666.6666667,3333333333.3333335,0.24848484848484848
D3,46,46,100,2,2,2,1833333333.3333333,0,1
D3,46,46,100,25,25,25,8466666666.666667,0,1
D3,46,46,100,32,32,32,3000000000,0,1
D3,46,46,100,39,39,39,833333333.3333334,0,1
D3,46,46,100,40,40,40,3100000000,0,1
D3,46,46,100,8,8,8,733333333.3333334,0,1
D3,46,46,100,II.F2,II.F2,II.F2,1400000000,0,1
D3,46,46,5-95,2-25,2,25,7666666666.666667,2000000000,0.7925925925925926
D3,46,46,5-95,2-32,2,32,200000000,3266666666.6666665,0.9426162073220897
D3,46,46,5-95,2-II.F2,2,II.F2,1000000000,2033333333.3333333,0.3526984126984127
D3,46,46,5-95,40-2,40,2,666666666.6666666,1500000000,0.7016908212560387
D3,46,46,5-95,40-39,40,39,2633333333.3333335,233333333.33333334,0.8992961287078934
D3,46,46,5-95,40-8,40,8,2100000000,433333333.3333333,0.18033509700176364
D3,46,46,5-95,40-II.F2,40,II.F2,4133333333.3333335,2433333333.3333335,0.6286608540129667
D3,46,46,5-95,6-25,6,25,24000000000,5000000000,0.8029355420329051
D3,46,46,50-50,2-25,2,25,2000000000,3333333333.3333335,0.49206349206349204
D3,46,46,50-50,2-32,2,32,166666666.66666666,2700000000,0.9374741200828157
D3,46,46,50-50,2-II.F2,2,II.F2,1266666666.6666667,1300000000,0.49589349718381975
D3,46,46,50-50,40-2,40,2,3233333333.3333335,233333333.33333334,0.07291666666666666
D3,46,46,50-50,40-39,40,39,2566666666.6666665,300000000,0.8618618618618619
D3,46,46,50-50,40-8,40,8,2966666666.6666665,633333333.3333334,0.17172451256753582
D3,46,46,50-50,40-II.F2,40,II.F2,3800000000,2633333333.3333335,0.5897742303992304
D3,46,46,50-50,6-25,6,25,10000000000,6000000000,0.6166666666666667
D3,46,46,95-5,2-25,2,25,2000000000,5333333333.333333,0.2857142857142857
D3,46,46,95-5,2-32,2,32,300000000,966666666.6666666,0.7159090909090909
D3,46,46,95-5,2-II.F2,2,II.F2,1500000000,100000000,0.9333333333333333
D3,46,46,95-5,40-2,40,2,2666666666.6666665,466666666.6666667,0.14523809523809522
D3,46,46,95-5,40-39,40,39,2333333333.3333335,0,1
D3,46,46,95-5,40-8,40,8,3366666666.6666665,466666666.6666667,0.12064683284195479
D3,46,46,95-5,40-II.F2,40,II.F2,4400000000,1666666666.6666667,0.7327007326312669
D3,46,46,95-5,6-25,6,25,7333333333.333333,3000000000,0.7005291005291006
D3,61,61,100,2,2,2,1833333333.3333333,0,1
D3,61,61,100,25,25,25,6366666666.666667,0,1
D3,61,61,100,32,32,32,1833333333.3333333,0,1
D3,61,61,100,39,39,39,600000000,0,1
D3,61,61,100,40,40,40,4400000000,0,1
D3,61,61,100,8,8,8,800000000,0,1
D3,61,61,100,II.F2,II.F2,II.F2,1733333333.3333333,0,1
D3,61,61,5-95,2-25,2,25,3333333333.3333335,2666666666.6666665,0.6190476190476191
D3,61,61,5-95,2-32,2,32,233333333.33333334,1933333333.3333333,0.8922266139657444
D3,61,61,5-95,2-II.F2,2,II.F2,1366666666.6666667,1433333333.3333333,0.4942703533026114
D3,61,61,5-95,40-2,40,2,166666666.66666666,1800000000,0.919047619047619
D3,61,61,5-95,40-39,40,39,4033333333.3333335,0,1
D3,61,61,5-95,40-8,40,8,666666666.6666666,633333333.3333334,0.4913419913419913
D3,61,61,5-95,40-II.F2,40,II.F2,733333333.3333334,2100000000,0.2737964320625611
D3,61,61,5-95,6-25,6,25,10000000000,4333333333.333333,0.6087962962962963
D3,61,61,50-50,2-25,2,25,5666666666.666667,2000000000,0.7354497354497355
D3,61,61,50-50,2-32,2,32,400000000,1566666666.6666667,0.799074074074074
D3,61,61,50-50,2-II.F2,2,II.F2,1466666666.6666667,766666666.6666666,0.6576353928299009
D3,61,61,50-50,40-2,40,2,200000000,2133333333.3333333,0.9090909090909091
