day_ID,salinity,salt,pair,pair_type,strain1,strain2,mean_CFU_1,mean_CFU_2,mean_ratio_fast
D7,31,31,40-39,pair,40,39,1122222222.2222223,611111111.1111112,0.6724132267991917
D7,31,31,40-8,pair,40,8,3222222222.2222223,877777777.7777778,0.22023390102604837
D7,31,31,40-II.F2,pair,40,II.F2,6233333333.333333,144444444.44444445,0.9773880394527161
D7,31,31,6-25,pair,6,25,2722222222.2222223,9000000000,0.24188448430122658
D7,31,31,8,mono,8,8,1666666666.6666667,0,1
D7,31,31,II.F2,mono,II.F2,II.F2,2166666666.6666665,0,1
D7,46,46,2,mono,2,2,1166666666.6666667,0,1
D7,46,46,2-25,pair,2,25,6555555555.555555,2666666666.6666665,0.6560236995737512
D7,46,46,2-32,pair,2,32,122222222.22222222,1444444444.4444444,0.9434587346131574
D7,46,46,2-II.F2,pair,2,II.F2,1300000000,544444444.4444444,0.7266092520327245
D7,46,46,25,mono,25,25,8233333333.333333,0,1
D7,46,46,32,mono,32,32,1933333333.3333333,0,1
D7,46,46,39,mono,39,39,400000000,0,1
D7,46,46,40,mono,40,40,1733333333.3333333,0,1
D7,46,46,40-2,pair,40,2,711111111.1111112,1344444444.4444444,0.6495490502328569
D7,46,46,40-39,pair,40,39,6944444444.444445,0,1
D7,46,46,40-8,pair,40,8,1477777777.7777777,1088888888.8888888,0.4324900426886714
D7,46,46,40-II.F2,pair,40,II.F2,2277777777.7777777,233333333.3333333,0.905445489983866
D7,46,46,6-25,pair,6,25,29000000000,2944444444.4444447,0.7466671321510031
D7,46,46,8,mono,8,8,1366666666.6666667,0,1
D7,46,46,II.F2,mono,II.F2,II.F2,1100000000,0,1
D7,61,61,2,mono,2,2,1500000000,0,1
D7,61,61,2-25,pair,2,25,8500000000,1055555555.5555556,0.8390723068354647
D7,61,61,2-32,pair,2,32,88888888.8888889,755555555.5555557,0.8964285714285715
D7,61,61,2-II.F2,pair,2,II.F2,1133333333.3333333,277777777.7777778,0.8074548907882241
D7,61,61,25,mono,25,25,6266666666.666667,0,1
D7,61,61,32,mono,32,32,400000000,0,1
D7,61,61,39,mono,39,39,300000000,0,1
D7,61,61,40,mono,40,40,5266666666.666667,0,1
D7,61,61,40-2,pair,40,2,55555555.55555555,1155555555.5555556,0.9457739791073124
D7,61,61,40-39,pair,40,39,5400000000,0,1
D7,61,61,40-8,pair,40,8,455555555.5555556,944444444.4444444,0.6836227855964698
D7,61,61,40-II.F2,pair,40,II.F2,1888888888.8888888,2188888888.888889,0.433436280495104
D7,61,61,6-25,pair,6,25,10222222222.222221,2444444444.4444447,0.6743091301914832
D7,61,61,8,mono,8,8,1633333333.3333333,0,1
D7,61,61,II.F2,mono,II.F2,II.F2,1000000000,0,1
